API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Dec  3 16:29:08 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2035-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464687.500000000, A.D. 2035-Dec-26 00:00:00.0000, -9.399927242483970E+06,  1.458277844869289E+08,  6.654760170727968E+01, -3.021435581838366E+01, -1.939129956334965E+00, -3.650110122077610E-05,
2464688.500000000, A.D. 2035-Dec-27 00:00:00.0000, -1.200896868635982E+07,  1.456373194901004E+08,  7.545016408711672E+01, -3.017847226791458E+01, -2.469720721302399E+00,  2.416679929864163E-04,
2464689.500000000, A.D. 2035-Dec-28 00:00:00.0000, -1.461448187579004E+07,  1.454010313044248E+08,  1.080134557634592E+02, -3.013268058996352E+01, -2.999805968507462E+00,  5.096418752619236E-04,
2464690.500000000, A.D. 2035-Dec-29 00:00:00.0000, -1.721561036160354E+07,  1.451189755207840E+08,  1.629643410369754E+02, -3.007697534739242E+01, -3.529109933567141E+00,  7.584817950965217E-04,
2464691.500000000, A.D. 2035-Dec-30 00:00:00.0000, -1.981149812976406E+07,  1.447912315197515E+08,  2.382960586026311E+02, -3.001137195685794E+01, -4.057358044034463E+00,  9.801677460814506E-04,
2464692.500000000, A.D. 2035-Dec-31 00:00:00.0000, -2.240129137504435E+07,  1.444179022756135E+08,  3.313536007478833E+02, -2.993590598389782E+01, -4.584279085816330E+00,  1.167735569420181E-03,
2464693.500000000, A.D. 2036-Jan-01 00:00:00.0000, -2.498414019749265E+07,  1.439991139749838E+08,  4.389299664646387E+02, -2.985063204785854E+01, -5.109607264687288E+00,  1.315386081468084E-03,
2464694.500000000, A.D. 2036-Jan-02 00:00:00.0000, -2.755920018982155E+07,  1.435350154755027E+08,  5.573697139471769E+02, -2.975562243722323E+01, -5.633083792047598E+00,  1.418542997179362E-03,
2464695.500000000, A.D. 2036-Jan-03 00:00:00.0000, -3.012563390635201E+07,  1.430257776565579E+08,  6.826753372102976E+02, -2.965096583810439E+01, -6.154457787884050E+00,  1.473863799296815E-03,
2464696.500000000, A.D. 2036-Jan-04 00:00:00.0000, -3.268261224689757E+07,  1.424715927184905E+08,  8.106137643009424E+02, -2.953676673183297E+01, -6.673486623680480E+00,  1.479240472629151E-03,
2464697.500000000, A.D. 2036-Jan-05 00:00:00.0000, -3.522931583634051E+07,  1.418726734587652E+08,  9.368247596174479E+02, -2.941314596537570E+01, -7.189936236259934E+00,  1.433855636328030E-03,
2464698.500000000, A.D. 2036-Jan-06 00:00:00.0000, -3.776493651365492E+07,  1.412292524898785E+08,  1.056939512275159E+03, -2.928024271387572E+01, -7.703582349822798E+00,  1.338376439259381E-03,
2464699.500000000, A.D. 2036-Jan-07 00:00:00.0000, -4.028867904126516E+07,  1.405415812678725E+08,  1.166724853366613E+03, -2.913821749954304E+01, -8.214213865985414E+00,  1.195365297196993E-03,
2464700.500000000, A.D. 2036-Jan-08 00:00:00.0000, -4.279976308078184E+07,  1.398099286851771E+08,  1.262274047277868E+03, -2.898725504089630E+01, -8.721639767316429E+00,  1.009948091743595E-03,
2464701.500000000, A.D. 2036-Jan-09 00:00:00.0000, -4.529742532416996E+07,  1.390345788802534E+08,  1.340264880262315E+03, -2.882756447989699E+01, -9.225700398520946E+00,  7.906815523561761E-04,
2464702.500000000, A.D. 2036-Jan-10 00:00:00.0000, -4.778092140172181E+07,  1.382158278999401E+08,  1.398293470248580E+03, -2.865937330214933E+01, -9.726282416268946E+00,  5.503789705452178E-04,
2464703.500000000, A.D. 2036-Jan-11 00:00:00.0000, -5.024952684812308E+07,  1.373539790327089E+08,  1.435261074297130E+03, -2.848291106772574E+01, -1.022333366058874E+01,  3.064115445381432E-04,
2464704.500000000, A.D. 2036-Jan-12 00:00:00.0000, -5.270253615716154E+07,  1.364493371193259E+08,  1.451741207189858E+03, -2.829838163666119E+01, -1.071687044011083E+01,  7.984592619836306E-05,
2464705.500000000, A.D. 2036-Jan-13 00:00:00.0000, -5.513925909124692E+07,  1.355022028955918E+08,  1.450204194247723E+03, -2.810592891474061E+01, -1.120696813227329E+01, -1.070211297253820E-04,
2464706.500000000, A.D. 2036-Jan-14 00:00:00.0000, -5.755901418621863E+07,  1.345128690646773E+08,  1.434966530479491E+03, -2.790560875349100E+01, -1.169373058411851E+01, -2.344343667948223E-04,
2464707.500000000, A.D. 2036-Jan-15 00:00:00.0000, -5.996112064157001E+07,  1.334816197363169E+08,  1.411800423465669E+03, -2.769738175564511E+01, -1.217724494030442E+01, -2.890037599856399E-04,
2464708.500000000, A.D. 2036-Jan-16 00:00:00.0000, -6.234489076870196E+07,  1.324087338031001E+08,  1.387270178101957E+03, -2.748113322800840E+01, -1.265753892573883E+01, -2.659640820157350E-04,
2464709.500000000, A.D. 2036-Jan-17 00:00:00.0000, -6.470962508340310E+07,  1.312944912622645E+08,  1.367976924784482E+03, -2.725671197552012E+01, -1.313455747787689E+01, -1.690016587332366E-04,
2464710.500000000, A.D. 2036-Jan-18 00:00:00.0000, -6.705461095289221E+07,  1.301391804710084E+08,  1.359911493018270E+03, -2.702397086107697E+01, -1.360816421002088E+01, -8.095077602909839E-06,
2464711.500000000, A.D. 2036-Jan-19 00:00:00.0000, -6.937912428866661E+07,  1.289431044328463E+08,  1.368034988030791E+03, -2.678279518589622E+01, -1.407816046276433E+01,  2.033710581201831E-04,
2464712.500000000, A.D. 2036-Jan-20 00:00:00.0000, -7.168243298062369E+07,  1.277065851188464E+08,  1.396097161017358E+03, -2.653311473557751E+01, -1.454430979870537E+01,  4.510821686452005E-04,
2464713.500000000, A.D. 2036-Jan-21 00:00:00.0000, -7.396380078485389E+07,  1.264299657868236E+08,  1.446630326263607E+03, -2.627490322803973E+01, -1.500635879735470E+01,  7.213510629799913E-04,
2464714.500000000, A.D. 2036-Jan-22 00:00:00.0000, -7.622249084667660E+07,  1.251136118102192E+08,  1.521038468323648E+03, -2.600817143567125E+01, -1.546405057780694E+01,  1.001801584531670E-03,
2464715.500000000, A.D. 2036-Jan-23 00:00:00.0000, -7.845776854655956E+07,  1.237579106441551E+08,  1.619717966891825E+03, -2.573295904342217E+01, -1.591713153341152E+01,  1.281471678723278E-03,
2464716.500000000, A.D. 2036-Jan-24 00:00:00.0000, -8.066890369596379E+07,  1.223632714270342E+08,  1.742173395782709E+03, -2.544932803079994E+01, -1.636535343234836E+01,  1.550641302420885E-03,
2464717.500000000, A.D. 2036-Jan-25 00:00:00.0000, -8.285517226628786E+07,  1.209301245180755E+08,  1.887114856950939E+03, -2.515735852883816E+01, -1.680847314092087E+01,  1.800605456477200E-03,
2464718.500000000, A.D. 2036-Jan-26 00:00:00.0000, -8.501585786445993E+07,  1.194589210967642E+08,  2.052538149230182E+03, -2.485714702042153E+01, -1.724625170230182E+01,  2.023517775422867E-03,
2464719.500000000, A.D. 2036-Jan-27 00:00:00.0000, -8.715025313204035E+07,  1.179501328279420E+08,  2.235796527020633E+03, -2.454880624015471E+01, -1.767845387201551E+01,  2.212355869676053E-03,
2464720.500000000, A.D. 2036-Jan-28 00:00:00.0000, -8.925766117991626E+07,  1.164042515261349E+08,  2.433674847990274E+03, -2.423246596136851E+01, -1.810484864790060E+01,  2.361007905254731E-03,
2464721.500000000, A.D. 2036-Jan-29 00:00:00.0000, -9.133739710118404E+07,  1.148217887270368E+08,  2.642475306734443E+03, -2.390827390424139E+01, -1.852521086889707E+01,  2.464446755091387E-03,
2464722.500000000, A.D. 2036-Jan-30 00:00:00.0000, -9.338878954655577E+07,  1.132032750834331E+08,  2.858120237953961E+03, -2.357639620609898E+01, -1.893932361516800E+01,  2.518942437133909E-03,
2464723.500000000, A.D. 2036-Jan-31 00:00:00.0000, -9.541118231158769E+07,  1.115492595348261E+08,  3.076273214377463E+03, -2.323701721451908E+01, -1.934698096967932E+01,  2.522266753176794E-03,
2464724.500000000, A.D. 2036-Feb-01 00:00:00.0000, -9.740393587941742E+07,  1.098603082377753E+08,  3.292476478680968E+03, -2.289033870682545E+01, -1.974799074534192E+01,  2.473865084136051E-03,
2464725.500000000, A.D. 2036-Feb-02 00:00:00.0000, -9.936642888324912E+07,  1.081370032683381E+08,  3.502301938027143E+03, -2.253657887979710E+01, -2.014217704142832E+01,  2.375002616480160E-03,
2464726.500000000, A.D. 2036-Feb-03 00:00:00.0000, -1.012980594850398E+08,  1.063799411031306E+08,  3.701514984123409E+03, -2.217597146451845E+01, -2.052938289068841E+01,  2.228923339790967E-03,
2464727.500000000, A.D. 2036-Feb-04 00:00:00.0000, -1.031982466869488E+08,  1.045897308454008E+08,  3.886254510827363E+03, -2.180876502186290E+01, -2.090947364835939E+01,  2.041074485748418E-03,
2464728.500000000, A.D. 2036-Feb-05 00:00:00.0000, -1.050664315722124E+08,  1.027669920959480E+08,  4.053236556887627E+03, -2.143522185195559E+01, -2.128234195976654E+01,  1.819430926930821E-03,
2464729.500000000, A.D. 2036-Feb-06 00:00:00.0000, -1.069020783870412E+08,  1.009123523035676E+08,  4.199989554464817E+03, -2.105561508983872E+01, -2.164791488008763E+01,  1.574888971375366E-03,
2464730.500000000, A.D. 2036-Feb-07 00:00:00.0000, -1.087046752139582E+08,  9.902644341685840E+07,  4.325121732257307E+03, -2.067022172654471E+01, -2.200616272566252E+01,  1.321579218256375E-03,
2464731.500000000, A.D. 2036-Feb-08 00:00:00.0000, -1.104737337754048E+08,  9.710989777147344E+07,  4.428601559281349E+03, -2.027930909824175E+01, -2.235710733105087E+01,  1.076791661724030E-03,
2464732.500000000, A.D. 2036-Feb-09 00:00:00.0000, -1.122087877402836E+08,  9.516334345359577E+07,  4.511999901399016E+03, -1.988311381576045E+01, -2.270082492990330E+01,  8.600924271675581E-04,
2464733.500000000, A.D. 2036-Feb-10 00:00:00.0000, -1.139093889663074E+08,  9.318739987336957E+07,  4.578607885323465E+03, -1.948181596817285E+01, -2.303743739234906E+01,  6.912993462151462E-04,
2464734.500000000, A.D. 2036-Feb-11 00:00:00.0000, -1.155751015884537E+08,  9.118267476897925E+07,  4.633332057066262E+03, -1.907551684932001E+01, -2.336708761618739E+01,  5.874251617932202E-04,
